fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,11530,11530,11530
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,4061,4061,4061
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,19856,19856,19856
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,558,558,558
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,1615,1615,1615
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,180,180,180
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,1291,1291,1291
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,1082,1082,1082
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,8759,8759,8759
LOCAL,314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,30024,30024,26182
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,937400,937400,960860
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,13563,13563,14844
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,1000,1000,1000
LOCAL,100,CORPORATE FUND,48,MOPD,2005,MOPD,270,LOCAL TRANSPORTATION,9657,9657,10077
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,710,710,710
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,11612,11612,2612
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,5729,5729,4729
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,14141,14141,4141
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,22257,22257,22257
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,22584,22584,20084
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,1106,1106,206
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,165,165,65
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,1610,1610,1610
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,12843,12843,12843
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,6205,6205,6205
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,15258,15258,5258
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,558,558,558
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,1615,1615,1615
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,2562,2562,2156
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,1885,1885,1885
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MATERIAL,1082,1082,1082
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,2912,2912,2912
LOCAL,740,O HARE REVENUE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,1201,1201,1201
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,2250546,2250546,2888562
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,15,SCHEDULE SALARY ADJUSTMENTS,8347,8347,9450
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,39,STUDENT AS TRAINEES,37500,37500,37500
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,130,POSTAGE,3200,3200,1500
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,140,PROFESSIONAL AND TECHNICAL SERVICES,4500,4500,5500
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,152,ADVERTISING,1000,1000,1000
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,157,RENTAL EQUIPMENT AND SERVICES,20000,20000,10000
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,169,TECHNICAL MEETING COSTS,1000,1000,1000
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,181,MOBILE COMMUNICATION SERVICES,4986,4986,4986
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,190,TELEPHONE - NON-CENTREX BILLINGS,10000,10000,8000
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,197,TELEPHONE - MAINTENANCE,4609,4609,2000
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,245,REIMBURSEMENT TO TRAVELERS,500,500,500
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,270,LOCAL TRANSPORTATION,500,500,500
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,348,BOOKS AND RELATED MATERIAL,400,400,400
LOCAL,100,CORPORATE FUND,5,OBM,2005,OBM,350,STATIONERY AND OFFICE SUPPLIES,5400,5400,5400
LOCAL,200,WATER FUND,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,121644,121644,124080
LOCAL,0B21,TIF ADMINISTRATION,5,OBM,2005,OBM,5,SALARIES AND WAGES - ON PAYROLL,145673,145673,96720
LOCAL,0B21,TIF ADMINISTRATION,5,OBM,2005,OBM,15,SCHEDULE SALARY ADJUSTMENTS,1794,1794,0
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,5,SALARIES AND WAGES - ON PAYROLL,8593947,8593947,8824859
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,11,CONTRACT WAGE - SALARY,8012,8012,0
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,15,SCHEDULE SALARY ADJUSTMENTS,13449,13449,7038
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,130,POSTAGE,1428,1428,4692
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,138,IT MAINTENANCE,2009740,2009740,1892301
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,140,PROFESSIONAL AND TECHNICAL SERVICES,0,0,803255
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,149,SOFTWARE MAINTENANCE AND LICENSING,5622806,5622806,6554674
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,162,REPAIR/MAINT EQUIPMENT,730006,730006,998491
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,166,DUES  SUBSC & MEM,1216,1216,249
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,169,TECHNICAL MEETING COSTS,27476,27476,62700
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,181,MOBILE COMMUNICATION SERVICES,36400,36400,32242
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,190,TELEPHONE - NON-CENTREX BILLINGS,34969,34969,25770
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,196,DATA CIRCUITS,758527,758527,748170
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,197,TELEPHONE - MAINTENANCE,13742,13742,7902
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,245,REIMBURSEMENT TO TRAVELERS,3500,3500,3150
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,270,LOCAL TRANSPORTATION,1000,1000,900
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,340,MATERIAL AND SUPPLIES,16243,16243,14200
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,348,BOOKS AND RELATED MATERIAL,3000,3000,2700
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,350,STATIONERY AND OFFICE SUPPLIES,7500,7500,6750
LOCAL,200,WATER FUND,6,DOIT,2005,DOIT,138,IT MAINTENANCE,1234000,1234000,1234000
LOCAL,200,WATER FUND,6,DOIT,2005,DOIT,139,IT DEVELOPMENT,1000000,1000000,869500
LOCAL,200,WATER FUND,6,DOIT,2005,DOIT,140,PROFESSIONAL AND TECHNICAL SERVICES,4088393,4088393,4088393
LOCAL,200,WATER FUND,6,DOIT,2005,DOIT,149,SOFTWARE MAINTENANCE AND LICENSING,123827,123827,123827
LOCAL,200,WATER FUND,6,DOIT,2005,DOIT,197,TELEPHONE - MAINTENANCE,21593,21593,21593
LOCAL,346,LIBRARY FUND,6,DOIT,2005,DOIT,5,SALARIES AND WAGES - ON PAYROLL,1150906,1150906,1200253
LOCAL,346,LIBRARY FUND,6,DOIT,2005,DOIT,11,CONTRACT WAGE - SALARY,4219,4219,0
LOCAL,346,LIBRARY FUND,6,DOIT,2005,DOIT,15,SCHEDULE SALARY ADJUSTMENTS,2742,2742,2626
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,6341436,6341436,6352786
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,17,CITY COUNCIL - SALARIED EMPLOYEES,9088720,9088720,9270500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,39,STUDENT AS TRAINEES,140000,140000,140000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,181,MOBILE COMMUNICATION SERVICES,1350,1350,1350
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,190,TELEPHONE - NON-CENTREX BILLINGS,66000,66000,66000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,197,TELEPHONE - MAINTENANCE,2800,2800,2800
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,245,REIMBURSEMENT TO TRAVELERS,1000,1000,1000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,43000,43000,43000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,982,RECOGNITION FOR HEROSIM,1000,1000,1000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9008,TEXT FILE - EXTRA LONG,4850000,4850000,4850000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9010,TEXT FILE - EXTRA LONG,92072,92072,92072
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9072,TEXT FILE - EXTRA LONG,4000,4000,4000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,3,SCHEDULED WAGE ADJUSTMENTS,40224,40224,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,5,SALARIES AND WAGES - ON PAYROLL,1769640,1769640,1770860
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,130,POSTAGE,16000,16000,16000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,140,PROFESSIONAL AND TECHNICAL SERVICES,12500,12500,12500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,143,COURT REPORTING,20000,20000,72000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,157,RENTAL EQUIPMENT AND SERVICES,65000,65000,65000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,166,DUES  SUBSC & MEM,2000,2000,2000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,169,TECHNICAL MEETING COSTS,2500,2500,2500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,190,TELEPHONE - NON-CENTREX BILLINGS,19000,19000,19000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,197,TELEPHONE - MAINTENANCE,1400,1400,1400
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,229,TRANSPORTATION AND EXPENSE ALLOWANCE,8000,8000,8000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,340,MATERIAL AND SUPPLIES,3500,3500,3500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,348,BOOKS AND RELATED MATERIAL,3000,3000,3000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,350,STATIONERY AND OFFICE SUPPLIES,45000,45000,45000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,700,CONTINGENCIES,100,100,100
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9005,LEGAL FEES - COMMITTE ON FINANCE,50000,50000,50000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9006,LEGAL ASSISTANCE - COMMITTEE ON FINANCE,50000,50000,50000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9010,TEXT FILE - EXTRA LONG,92500,92500,92500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2012,COFA,5,SALARIES AND WAGES - ON PAYROLL,258924,258924,276216
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2012,COFA,700,CONTINGENCIES,25000,25000,25000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2015,LEGISLATIVE INSPECTOR GENERAL,120,CON. SVS. FOR THE LIG,171000,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2015,LEGISLATIVE INSPECTOR GENERAL,137,CON. SVS. UNDER DIRECTOR OF LIG,183000,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,0,PERSONNEL SERVICES,482812,482812,492468
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,100,CONTRACTUAL SERVICES,15000,15000,15000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,300,COMMODITIES AND MATERIALS,12000,12000,12000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,400,EQUIPMENT,9500,9500,9500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,700,CONTINGENCIES,15000,15000,15000
