fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,55,Extra Hire,1712100,1712100,12503094
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,130,Postage,69179,69179,973515
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,138,For Professional Services for Information Technology Maintenance,345700,345700,1865188
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,140,For Professional and Technical Services and Other Third Party Benefit Agreements,645050,645050,906388
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,143,Court Reporting,50000,50000,437000
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,145,Legal Expenses,1324589,1324589,2612810
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,149,For Software Maintenance and Licensing,701224,701224,1014453
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,150,Publications and Reproduction - Outside Services to Be Expended with the Prior Approval of Graphics Services,40600,40600,971945
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,152,Advertising,49450,49450,210600
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,154,For the Rental and Maintenance of Data Processing  Office Automation and Data Communications Hardware,806464,806464,94168
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,155,Rental of Property,775245,775245,1106586
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,157,Rental of Equipment and Services,74663,74663,647201
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,159,Lease Purchase Agreements for Equipment and Machinery,532787,457787,333435
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,162,Repair/Maintenance of Equipment,281556,281556,285484
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,166,Dues  Subscriptions and Memberships,6164,6164,5841
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,169,Technical Meeting Costs,29493,29493,55420
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,172,For the Cost of Insurance Premiums and Expenses,1350,1350,1350
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,178,Freight and Express Charges,6376,6376,1653200
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,181,Mobile Communication Services,506966,506966,665000
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,190,Telephone - Non-Centrex Billings,351258,426258,539201
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,229,Transportation and Expense Allowance,5150,5150,12350
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,270,Local Transportation,7718,7718,48900
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,340,Material and Supplies,510985,510985,594550
LOCAL,0100,Corporate Fund,39,Board of Election Commissioners,2005,Election and Administration Division,350,Stationery and Office Supplies,90388,90388,124600
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,5,Salaries and Wages - on Payroll,15988383,15988383,16938725
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,11,Contract Wage Increment - Salary,0,0,97605
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,15,Schedule Salary Adjustments,50283,50283,85432
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,20,Overtime,53538,53538,76850
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,50,Stipends,43700,43700,43700
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,91,Uniform Allowance,12000,12000,12500
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,125,Office and Building Services,142090,142090,142090
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,130,Postage,20099,20099,20099
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,135,For Delegate Agencies,12482290,12482290,14212290
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,140,For Professional and Technical Services and Other Third Party Benefit Agreements,2058540,2058540,2292794
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,148,Testing and Inspecting,1000,1000,2000
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,149,For Software Maintenance and Licensing,26510,26510,24315
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,150,Publications and Reproduction - Outside Services to Be Expended with the Prior Approval of Graphics Services,70000,70000,70000
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,152,Advertising,55000,55000,55000
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,157,Rental of Equipment and Services,31920,31920,0
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,159,Lease Purchase Agreements for Equipment and Machinery,153173,153173,153173
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,162,Repair/Maintenance of Equipment,4180,4180,17300
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,166,Dues  Subscriptions and Memberships,90000,90000,82534
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,169,Technical Meeting Costs,16176,16176,18676
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,179,Messenger Service,5000,5000,5000
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,181,Mobile Communication Services,211884,211884,211884
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,189,Telephone - Non-Centrex Billings,9700,9700,12000
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,190,Telephone - Non-Centrex Billings,118884,118884,116300
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,196,Data Circuits,230000,230000,230000
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,197,Telephone - Maintenance and Repair of Equipment and Voicemail,14875,14875,12235
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,330,Food,800,800,5500
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,340,Material and Supplies,17552,17552,18920
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,342,Drugs  Medicine and Chemical Materials,966122,966122,1013092
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,350,Stationery and Office Supplies,20675,20675,20000
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,445,Technical and Scientific Equipment,10930,10930,3010
LOCAL,0100,Corporate Fund,41,Department of Public Health,1005,Department of Public Health,446,For the Purchase of Data Processing  Office Automation and Data Communication Hardware,2505,2505,1640
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,5,Salaries and Wages - on Payroll,1094070,1094070,1066589
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,15,Schedule Salary Adjustments,5422,5422,1404
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,130,Postage,4437,4437,3000
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,138,For Professional Services for Information Technology Maintenance,7200,7200,7200
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,139,For Professional Services for Information Technology Development,40000,40000,0
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,140,For Professional and Technical Services and Other Third Party Benefit Agreements,54000,54000,49200
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,143,Court Reporting,8660,8660,8660
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,159,Lease Purchase Agreements for Equipment and Machinery,4994,4994,4994
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,166,Dues  Subscriptions and Memberships,5290,5290,5290
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,169,Technical Meeting Costs,0,0,3000
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,190,Telephone - Non-Centrex Billings,3500,3500,3000
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,197,Telephone - Maintenance and Repair of Equipment and Voicemail,410,410,345
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,270,Local Transportation,600,600,800
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,350,Stationery and Office Supplies,1500,1500,2500
LOCAL,0100,Corporate Fund,45,Commission on Human Relations,2005,Commission on Human Relations,446,For the Purchase of Data Processing  Office Automation and Data Communication Hardware,1410,1410,0
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,5,Salaries and Wages - on Payroll,1179492,1179492,1264115
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,15,Schedule Salary Adjustments,4714,4714,4265
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,39,For the Employment of Students as Trainees,7525,7525,7525
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,130,Postage,1683,1683,1683
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,135,For Delegate Agencies,200000,200000,200000
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,140,For Professional and Technical Services and Other Third Party Benefit Agreements,140644,140644,25409
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,157,Rental of Equipment and Services,14796,14796,14796
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,15,Schedule Salary Adjustments,12651582,12651582,14958143
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,159,Lease Purchase Agreements for Equipment and Machinery,16201,16201,16572
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,162,Repair/Maintenance of Equipment,775,775,775
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,169,Technical Meeting Costs,3580,3580,3580
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,181,Mobile Communication Services,1868,1868,1868
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,190,Telephone - Non-Centrex Billings,10056,10056,10056
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,197,Telephone - Maintenance and Repair of Equipment and Voicemail,920,920,920
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,245,Reimbursement to Travelers,2234,2234,2234
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,270,Local Transportation,9727,9727,9774
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,340,Material and Supplies,1199,1199,1199
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,350,Stationery and Office Supplies,9387,9387,7387
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,9438,For Services Provided by the Department of Fleet and Facilities Management,23000,23000,23000
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,5,Salaries and Wages - on Payroll,4354405,4354405,6955963
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,15,Schedule Salary Adjustments,22114,22114,38989
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,125,Office and Building Services,31853,31853,31497
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,130,Postage,30032,30032,2000
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,135,For Delegate Agencies,0,0,1325000
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,140,For Professional and Technical Services and Other Third Party Benefit Agreements,365466,365466,365466
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,152,Advertising,1780,1780,2136
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,159,Lease Purchase Agreements for Equipment and Machinery,45457,45457,45457
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,166,Dues  Subscriptions and Memberships,11479,11479,11479
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,169,Technical Meeting Costs,29560,29560,29560
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,181,Mobile Communication Services,32220,32220,32220
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,190,Telephone - Non-Centrex Billings,49500,49500,40100
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,196,Data Circuits,46900,46900,46220
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,197,Telephone - Maintenance and Repair of Equipment and Voicemail,4300,4300,4300
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,245,Reimbursement to Travelers,3000,3000,4000
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,270,Local Transportation,800,800,800
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,340,Material and Supplies,5310,5310,5310
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,350,Stationery and Office Supplies,18150,18150,17150
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9143,Workforce Services for Target Populations,1300000,1300000,1300000
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9204,Youth Mentoring Programs,7000000,7000000,7414700
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9253,Early Childhood Education Program,15075000,15075000,15075000
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9254,Violence Reduction Program,3105000,3105000,6294025
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9255,Homeless Services for Youth,1540979,1540979,1540979
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9259,Summer Programs,17663403,17663403,17663403
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9260,After School Programs,19756201,19756201,17167176
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9261,Children's Advocacy Center,900000,900000,900000
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9262,Earned Income Tax Credit,850000,850000,850000
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9263,Homeless Services,7899876,7899876,9593069
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9290,Homeless Supportive Services,1800000,1800000,3100000
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9438,For Services Provided by the Department of Fleet and Facilities Management,94105,94105,214856
LOCAL,0B39,Human Capital Innovation Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9204,Youth Mentoring Programs,0,0,1991000
LOCAL,0B39,Human Capital Innovation Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9254,Violence Reduction Program,0,0,1192000
LOCAL,0B39,Human Capital Innovation Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9259,Summer Programs,0,0,500000
LOCAL,0B39,Human Capital Innovation Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9260,After School Programs,0,0,1000000
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,5,Salaries and Wages - on Payroll,9404828,9404828,8600185
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,15,Schedule Salary Adjustments,37681,37681,37629
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,20,Overtime,0,0,20000
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,39,For the Employment of Students as Trainees,20000,20000,20000
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,50,Stipends,62000,62000,62000
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,130,Postage,36765,36765,27000
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,135,For Delegate Agencies,2290154,2290154,741223
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,138,For Professional Services for Information Technology Maintenance,29000,29000,19000
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,140,For Professional and Technical Services and Other Third Party Benefit Agreements,812985,812985,783647
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,141,Appraisals,60875,60875,80000
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,143,Court Reporting,64395,64395,64395
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,149,For Software Maintenance and Licensing,51310,51310,58228
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,150,Publications and Reproduction - Outside Services to Be Expended with the Prior Approval of Graphics Services,930,930,930
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,152,Advertising,42695,42695,41045
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,159,Lease Purchase Agreements for Equipment and Machinery,58543,58543,41107
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,166,Dues  Subscriptions and Memberships,5480,5480,6652
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,169,Technical Meeting Costs,24116,24116,22666
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,179,Messenger Service,1120,1120,1000
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,181,Mobile Communication Services,8055,8055,9600
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,190,Telephone - Non-Centrex Billings,24048,24048,18100
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,197,Telephone - Maintenance and Repair of Equipment and Voicemail,1460,1460,1310
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,229,Transportation and Expense Allowance,2340,2340,1189
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,245,Reimbursement to Travelers,5470,5470,5383
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,340,Material and Supplies,7850,7850,9971
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,348,Books and Related Material,2948,2948,2948
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,350,Stationery and Office Supplies,10500,10500,10500
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,446,For the Purchase of Data Processing  Office Automation and Data Communication Hardware,20500,20500,17510
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9110,Property Management  Maintenance and Security,70000,70000,0
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9183,Foreclosure Prevention Program,339000,339000,0
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9211,Single-Family Troubled Building Initiative,75000,75000,0
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9212,Multi-Family Troubled Building Initiative,175000,175000,0
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9224,Micro Market Recovery Program,700000,700000,0
LOCAL,0100,Corporate Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9438,For Services Provided by the Department of Fleet and Facilities Management,0,0,86250
LOCAL,0934,Affordable Housing Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,5,Salaries and Wages - on Payroll,1013787,1013787,0
LOCAL,0934,Affordable Housing Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,15,Schedule Salary Adjustments,4813,4813,0
LOCAL,0934,Affordable Housing Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,39,For the Employment of Students as Trainees,15000,15000,0
LOCAL,0934,Affordable Housing Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9213,Affordable Housing Density Program,37611196,37611196,0
LOCAL,0B21,Tax Increment Financing Administration Fund,54,Department of Planning and Development,2005,Department of Planning and Development,5,Salaries and Wages - on Payroll,3679850,3679850,3500256
LOCAL,0B21,Tax Increment Financing Administration Fund,54,Department of Planning and Development,2005,Department of Planning and Development,15,Schedule Salary Adjustments,20211,20211,19691
LOCAL,0B21,Tax Increment Financing Administration Fund,54,Department of Planning and Development,2005,Department of Planning and Development,138,For Professional Services for Information Technology Maintenance,120000,120000,120000
LOCAL,0B21,Tax Increment Financing Administration Fund,54,Department of Planning and Development,2005,Department of Planning and Development,140,For Professional and Technical Services and Other Third Party Benefit Agreements,92354,92354,10000
LOCAL,0B21,Tax Increment Financing Administration Fund,54,Department of Planning and Development,2005,Department of Planning and Development,166,Dues  Subscriptions and Memberships,4275,4275,4275
LOCAL,0B21,Tax Increment Financing Administration Fund,54,Department of Planning and Development,2005,Department of Planning and Development,169,Technical Meeting Costs,13800,13800,13800
LOCAL,0B21,Tax Increment Financing Administration Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9454,For Services Provided by the Department of Planning and Development,125000,125000,125000
LOCAL,0B41,Neighborhood Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,5,Salaries and Wages - on Payroll,0,0,297334
LOCAL,0B41,Neighborhood Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,15,Schedule Salary Adjustments,0,0,3420
LOCAL,0B41,Neighborhood Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,140,For Professional and Technical Services and Other Third Party Benefit Agreements,0,0,502072
LOCAL,0B41,Neighborhood Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9266,Neighborhood Opportunity Program,0,0,11799011
LOCAL,0B82,Neighborhood Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,140,For Professional and Technical Services and Other Third Party Benefit Agreements,931797,931797,0
LOCAL,0B82,Neighborhood Opportunity Fund,54,Department of Planning and Development,2005,Department of Planning and Development,9266,Neighborhood Opportunity Program,22381203,22381203,0
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,5,Salaries and Wages - on Payroll,172272,172272,177432
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,15,Schedule Salary Adjustments,0,0,1903
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,50,Stipends,111000,111000,111000
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,130,Postage,250,250,150
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,140,For Professional and Technical Services and Other Third Party Benefit Agreements,114350,114652,100026
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,143,Court Reporting,70000,69348,70000
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,157,Rental of Equipment and Services,2516,2516,2400
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,169,Technical Meeting Costs,600,600,600
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,181,Mobile Communication Services,617,967,617
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,245,Reimbursement to Travelers,824,824,1200
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,270,Local Transportation,500,500,300
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,348,Books and Related Material,90,90,100
LOCAL,0100,Corporate Fund,55,Police Board,2005,Police Board,350,Stationery and Office Supplies,500,500,250
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,3,Scheduled Wage Adjustments,0,0,1762845
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,5,Salaries and Wages - on Payroll,1184115077,1184115077,1195012863
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,11,Contract Wage Increment - Salary,476236,476236,487458
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,20,Overtime,95000000,95000000,95000000
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,21,Sworn/Civilian Holiday Premium Pay,3942818,3942818,3942818
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,22,Duty Availability,40250000,40250000,40250000
LOCAL,0346,Library Fund,91,Chicago Public Library,2005,Chicago Public Library,169,Technical Meeting Costs,30000,30000,28000
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,24,Compensatory Time Payment,16435725,16435725,16435725
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,27,Supervisors Quarterly Payment,9209311,9209311,9209311
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,32,Reimbursable Overtime,6000000,6000000,10400000
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,60,Specialty Pay,15000000,15000000,15000000
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,70,Tuition Reimbursement and Educational Programs,7500000,7500000,7500000
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,88,Furlough/Supervisors Compensation Time Buy-Back,14305886,14305886,14305886
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,91,Uniform Allowance,21701525,21701525,21701525
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,125,Office and Building Services,500,500,500
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,130,Postage,195000,195000,195000
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,138,For Professional Services for Information Technology Maintenance,1758260,1758260,2111500
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,140,For Professional and Technical Services and Other Third Party Benefit Agreements,17215573,17197853,14317419
LOCAL,0100,Corporate Fund,57,Chicago Police Department,1005,Chicago Police Department,145,Legal Expenses,17000,17000,17000
