fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,15,SCHEDULE SALARY ADJ,4022,4022,7546
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,39,STUDENT AS TRAINEES,37500,37500,37500
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,130,POSTAGE,3500,3500,3200
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,140,PROF & TECHNICAL SERVICES,4500,4500,4500
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,152,ADVERTISING,2000,2000,1000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,15000,15000,20000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,169,TECHNICAL MEETING COSTS,1000,1000,1000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,181,MOBILE COMM SERVICES,7500,7500,4986
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,190,TELEPHONE-CENTREX,20000,20000,10000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,197,TELEPHONE-MAINTENANCE,4000,4000,4609
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,245,REIMBURSEMENT TRAVELERS,500,500,500
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,270,LOCAL TRANSPORTATION,1000,1000,500
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,348,BOOKS AND RELATED MTL,650,650,400
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,5400,5400,5400
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,5,SALARIES AND WAGES - ON PAYROLL,7174047,7174047,7470539
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,15,SCHEDULE SALARY ADJ,8542,8542,18929
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,130,POSTAGE,2000,2000,2000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,138,PROF SERV-IT MAINT,6431518,6431518,6631518
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,140,PROF & TECHNICAL SERVICES,0,0,250000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,149,SOFTWARE MAINT/LICENSING,6313518,6313518,6313518
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,162,REPAIR/MAINT EQUIPMENT,392500,392500,392500
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,166,"DUES, SUBSC & MEM",29500,29500,29500
