fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,2467620,2467620,2347185
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-207309,-207309,0
LOCAL,100,CORPORATE FUND,3,IG,2005,2005 - OFFICE OF INSPECTOR GENERAL,39,STUDENT AS TRAINEES,30000,30000,0
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,245,REIMBURSEMENT TRAVELERS,500,500,500
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,348,BOOKS AND RELATED MTL,650,650,650
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,169,TECHNICAL MEETING COSTS,1000,1000,1000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,270,LOCAL TRANSPORTATION,1000,1000,1000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,152,ADVERTISING,2000,2000,2000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,15,SCHEDULE SALARY ADJ,0,0,3146
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,130,POSTAGE,3500,3500,3500
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,181,MOBILE COMM SERVICES,4000,4000,4000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,140,PROF & TECHNICAL SERVICES,4500,4500,4500
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,5400,5400,5400
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,197,TELEPHONE-MAINTENANCE,8000,8000,8000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,19000,19000,19000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,190,TELEPHONE-CENTREX,26000,26000,26000
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,39,STUDENT AS TRAINEES,37500,37500,37500
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,1923571,1923571,1495262
LOCAL,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,2005 - OFFICE OF BUDGET & MANAGEMENT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-193350,-193350,0
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,130,POSTAGE,2000,2000,2000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,270,LOCAL TRANSPORTATION,2500,2500,2500
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,348,BOOKS AND RELATED MTL,3000,3000,3000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,245,REIMBURSEMENT TRAVELERS,5000,5000,5000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,186,PAGERS,7400,7400,7400
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,350,STATIONERY AND OFFICE SUPPL,11500,11500,11500
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,15,SCHEDULE SALARY ADJ,11259,11259,13720
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,340,MATERIAL AND SUPPLIES,19300,19300,19300
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,197,TELEPHONE-MAINTENANCE,24000,24000,24000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,166,DUES  SUBSC & MEM,29060,29060,29100
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,181,MOBILE COMM SERVICES,41760,41760,41760
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,169,TECHNICAL MEETING COSTS,60300,60300,47850
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,190,TELEPHONE-CENTREX,65000,65000,65000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,162,REPAIR/MAINT EQUIPMENT,464585,464585,320408
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,196,DATA CIRCUITS,962239,962239,960320
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,149,SOFTWARE MAINT/LICENSING,5430033,5430033,5280494
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,138,PROF SERV-IT MAINT,6689735,6689735,5431438
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,5,SALARIES AND WAGES - ON PAYROLL,7265291,7265291,6566228
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-588797,-588797,0
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,157,RENTAL EQUIPMENT AND SERVICES,8400,8400,0
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,446,PURCHASE-DATA HARDWARE,20000,20000,0
LOCAL,100,CORPORATE FUND,6,DOIT,2005,2005 - DOIT,39,STUDENT AS TRAINEES,30300,30300,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,982,EXP FOR HEROSIM,1000,1000,1000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,181,MOBILE COMM SERVICES,1540,1540,1540
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,9072,TEXT FILE - EXTRA LONG,4000,4000,4000
