fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,319,CLOTHING,5000,5000,10000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,15,SCHEDULE SALARY ADJ,43854,43854,22547
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,20,OVERTIME,25000,25000,25000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,162,REPAIR/MAINT EQUIPMENT,37500,37500,25000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,154,RENTAL-DATA HARDWARE EQ,25800,25800,25800
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,181,MOBILE COMM SERVICES,36000,36000,36000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,159,LEASE PURCHASE AGREEMNT,36066,36066,36066
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,130,POSTAGE,70000,70000,37410
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,350,STATIONERY AND OFFICE SUPPL,40400,40400,40820
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,197,TELEPHONE-MAINTENANCE,35000,35000,46000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,32,REIMBURSABLE OVERTIME,50000,50000,50000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,50,STIPENDS,57000,57000,57000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,12,CONTRACT WAGE-PR,133230,133230,82389
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,190,TELEPHONE-CENTREX,121000,121000,99800
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,989,REFUND CANCELLED VOUCHR,150000,150000,150000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,229,TRAN/EXP ALLOWANCE,134000,134000,155000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,931,TORT/NON-TORT JUDGMENT,300000,300000,300000
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,149,SOFTWARE MAINT/LICENSING,214400,284400,345500
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,140,PROF & TECHNICAL SERVICES,4363897,4293897,2660897
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,5,SALARIES AND WAGES - ON PAYROLL,17383403,17383403,15393678
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-1192573,-1192573,0
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,152,ADVERTISING,4000,4000,0
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,169,TECHNICAL MEETING COSTS,5000,5000,0
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,340,MATERIAL AND SUPPLIES,7320,7320,0
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,39,STUDENT AS TRAINEES,22500,22500,0
LOCAL,100,CORPORATE FUND,67,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,150,PUBLICATN & REPRODT-OUT,25000,25000,0
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,189,TELEPHONE NON-CENTREX,1400,1400,1300
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,270,LOCAL TRANSPORTATION,35616,35616,1966
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,348,BOOKS AND RELATED MTL,1972,1972,1972
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,245,REIMBURSEMENT TRAVELERS,2092,2092,2092
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,12,CONTRACT WAGE-PR,3971,3971,2479
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,154,RENTAL-DATA HARDWARE EQ,2668,2668,2668
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,360,REPAIR PARTS AND MATERIAL,3083,3083,3083
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,153,PROMOTIONS,3760,3760,3760
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,169,TECHNICAL MEETING COSTS,4576,4576,4576
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,166,DUES  SUBSC & MEM,5229,5229,5229
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,159,LEASE PURCHASE AGREEMNT,6804,6804,6804
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,179,MESSENGER SERVICES,14716,14716,14418
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,150,PUBLICATN & REPRODT-OUT,18280,18280,18280
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,340,MATERIAL AND SUPPLIES,22385,22385,22385
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,20,OVERTIME,24700,24700,24700
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,39,STUDENT AS TRAINEES,31675,31675,31675
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,162,REPAIR/MAINT EQUIPMENT,32288,32288,32288
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,157,RENTAL EQUIPMENT AND SERVICES,58552,58552,35052
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,148,TESTING AND INSPECTING,35232,35232,35232
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,196,DATA CIRCUITS,44100,44100,40500
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,229,TRAN/EXP ALLOWANCE,53016,53016,53016
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,143,COURT REPORTING,69329,69329,61150
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,350,STATIONERY AND OFFICE SUPPL,67448,67448,67448
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,190,TELEPHONE-CENTREX,78000,78000,67900
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,15,SCHEDULE SALARY ADJ,64083,64083,75716
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,338,LICENSE STICKER TAG AND PLATES,76608,76608,76608
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,130,POSTAGE,80018,80018,80018
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,181,MOBILE COMM SERVICES,101000,101000,80898
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,152,ADVERTISING,99648,99648,99648
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,197,TELEPHONE-MAINTENANCE,91000,91000,110000
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,124,INVESTIGATION COSTS,115632,115632,115632
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,140,PROF & TECHNICAL SERVICES,344280,344280,282280
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,138,PROF SERV-IT MAINT,294490,294490,294490
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,5,SALARIES AND WAGES - ON PAYROLL,13007497,13007497,12242305
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-679120,-679120,0
LOCAL,100,CORPORATE FUND,70,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,50,STIPENDS,80000,80000,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-150203,-150203,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,154,RENTAL-DATA HARDWARE EQ,200,200,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,348,BOOKS AND RELATED MTL,864,864,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,196,DATA CIRCUITS,1000,1000,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,245,REIMBURSEMENT TRAVELERS,1485,1485,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,342,DRUGS MED AND CHEM MATL S,1632,1632,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,178,FREIGHT/EXPENSE CHARGES,2352,2352,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,186,PAGERS,2914,2914,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,150,PUBLICATN & REPRODT-OUT,2929,2929,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,39,STUDENT AS TRAINEES,3225,3225,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,319,CLOTHING,3631,3631,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,152,ADVERTISING,4464,4464,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,148,TESTING AND INSPECTING,5344,5344,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,445,TECH AND SCIENTIFIC EQUIP,7916,7916,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,166,DUES  SUBSC & MEM,8196,8196,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,229,TRAN/EXP ALLOWANCE,8476,8476,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,9067,PHYSICAL EXAMS,9945,9945,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,270,LOCAL TRANSPORTATION,9960,9960,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,15,SCHEDULE SALARY ADJ,11200,11200,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,350,STATIONERY AND OFFICE SUPPL,13168,13168,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,197,TELEPHONE-MAINTENANCE,13300,13300,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,20,OVERTIME,17672,17672,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,130,POSTAGE,17725,17725,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,169,TECHNICAL MEETING COSTS,17835,17835,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,340,MATERIAL AND SUPPLIES,22360,22360,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,162,REPAIR/MAINT EQUIPMENT,25422,25422,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,157,RENTAL EQUIPMENT AND SERVICES,27600,27600,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,190,TELEPHONE-CENTREX,39000,39000,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,181,MOBILE COMM SERVICES,42330,42330,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,140,PROF & TECHNICAL SERVICES,295345,295345,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,9142,X-OFFENDER/RE-ENTRY INI,400000,400000,0
LOCAL,100,CORPORATE FUND,72,DEPARTMENT OF ENVIRONMENT,2005,2005 - DEPARTMENT OF ENVIRONMENT,5,SALARIES AND WAGES - ON PAYROLL,2612648,2612648,0
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,186,PAGERS,156,156,156
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,245,REIMBURSEMENT TRAVELERS,479,479,479
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,169,TECHNICAL MEETING COSTS,1068,1068,1068
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,197,TELEPHONE-MAINTENANCE,1400,1400,1400
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,150,PUBLICATN & REPRODT-OUT,1427,1427,1427
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,360,REPAIR PARTS AND MATERIAL,2093,2093,2093
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,154,RENTAL-DATA HARDWARE EQ,2200,2200,2200
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,196,DATA CIRCUITS,2800,2800,2800
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,152,ADVERTISING,3300,3300,3300
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,130,POSTAGE,4396,4396,4396
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,162,REPAIR/MAINT EQUIPMENT,5220,5220,5220
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,168,EDUCATION DEVELOPMENT,4913,4913,5755
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,190,TELEPHONE-CENTREX,7500,7500,7000
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,350,STATIONERY AND OFFICE SUPPL,9411,9411,8411
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,157,RENTAL EQUIPMENT AND SERVICES,17400,17400,11220
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,340,MATERIAL AND SUPPLIES,16210,16210,16710
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,181,MOBILE COMM SERVICES,26410,26410,26412
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,15,SCHEDULE SALARY ADJ,16859,16859,26531
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,91,UNIFORM ALLOWANCE,32950,32950,27800
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,313,CLEANING AND SAN SUPPLY,70028,70028,70028
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,330,FOOD,100000,125000,100000
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,20,OVERTIME,145000,145000,145000
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,342,DRUGS MED AND CHEM MATL S,217186,192186,216200
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,140,PROF & TECHNICAL SERVICES,234745,234745,431707
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,5,SALARIES AND WAGES - ON PAYROLL,3119082,3119082,3090055
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-130729,-130729,0
LOCAL,100,CORPORATE FUND,73,COMM ANIMAL CARE AND CONTROL,2005,2005 - COMM ANIMAL CARE AND CONTROL,39,STUDENT AS TRAINEES,7800,7800,0
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,130,POSTAGE,359,359,238
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,197,TELEPHONE-MAINTENANCE,250,250,250
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,162,REPAIR/MAINT EQUIPMENT,400,400,294
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,340,MATERIAL AND SUPPLIES,900,900,800
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,190,TELEPHONE-CENTREX,1400,1400,1000
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,157,RENTAL EQUIPMENT AND SERVICES,1260,1260,1260
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,143,COURT REPORTING,30000,30000,25000
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,5,SALARIES AND WAGES - ON PAYROLL,63276,63276,63276
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,140,PROF & TECHNICAL SERVICES,94723,94723,77223
LOCAL,100,CORPORATE FUND,77,LICENSE APPEAL COMMISSION,2005,2005 - LICENSE APPEAL COMMISSION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-5821,-5821,0
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,229,TRAN/EXP ALLOWANCE,200,200,100
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,348,BOOKS AND RELATED MTL,500,500,100
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,245,REIMBURSEMENT TRAVELERS,900,900,500
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,350,STATIONERY AND OFFICE SUPPL,3696,3696,500
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,169,TECHNICAL MEETING COSTS,540,540,570
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,196,DATA CIRCUITS,950,950,950
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,197,TELEPHONE-MAINTENANCE,1400,1400,1400
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,270,LOCAL TRANSPORTATION,2400,2400,2400
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,15,SCHEDULE SALARY ADJ,1892,1892,3116
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,190,TELEPHONE-CENTREX,4000,4000,4000
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,130,POSTAGE,6169,6169,4000
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,162,REPAIR/MAINT EQUIPMENT,11124,11124,14154
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,140,PROF & TECHNICAL SERVICES,54000,54000,96751
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,5,SALARIES AND WAGES - ON PAYROLL,562800,562800,662623
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-51777,-51777,0
LOCAL,100,CORPORATE FUND,78,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,150,PUBLICATN & REPRODT-OUT,100,100,0
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,348,BOOKS AND RELATED MTL,200,200,200
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,126,OFFICE CONVENIENCES,250,250,200
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,169,TECHNICAL MEETING COSTS,275,275,275
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,245,REIMBURSEMENT TRAVELERS,500,500,500
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,166,DUES  SUBSC & MEM,603,603,603
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,157,RENTAL EQUIPMENT AND SERVICES,123918,123918,898
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,196,DATA CIRCUITS,1400,1400,1400
LOCAL,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,2005 - COMMISSIONER'S OFFICE,154,RENTAL-DATA HARDWARE EQ,1500,1500,1500
