fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,SALARIES AND WAGES - ON PAYROLL,10514517,10514517,11370347
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0039,STUDENT AS TRAINEES,180200,180200,249060
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0126,OFFICE CONVENIENCES,1600,1600,1600
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0130,POSTAGE,5500,5500,5500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0140,PROFESSIONAL AND TECHNICAL SERVICES,30000,30000,20000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0149,SOFTWARE MAINTENANCE AND LICENSING,2500,2500,2500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0150,OUTSIDE GRAPHIC SERVICES,1600,1600,1600
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0157,RENTAL EQUIPMENT AND SERVICES,46000,46000,46000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0159,LEASE/PURCHASE EQUIPMENT,52000,52000,52000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0162,REPAIR/MAINT EQUIPMENT,6984,6984,6984
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0166,DUES  SUBSC & MEM,249511,249511,248023
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0169,TECHNICAL MEETING COSTS,6000,6000,6000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0229,TRANSPORTATION AND EXPENSE ALLOWANCE,1000,1000,1000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0245,REIMBURSEMENT TO TRAVELERS,100000,100000,100000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0270,LOCAL TRANSPORTATION,3000,3000,3000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0350,STATIONERY AND OFFICE SUPPLIES,30000,30000,30000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,9121,LOBBYIST COSTS,200000,200000,200000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,SALARIES AND WAGES - ON PAYROLL,439584,439584,417673
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,SALARIES AND WAGES - ON PAYROLL,7309626,7309626,8138933
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,SCHEDULE SALARY ADJUSTMENTS,71454,71454,157957
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0020,OVERTIME,3000,3000,3000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,POSTAGE,1879,1879,2083
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0138,IT MAINTENANCE,121349,121349,121349
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,PROFESSIONAL AND TECHNICAL SERVICES,353253,353253,348253
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,COURT REPORTING,52500,52500,52500
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,SOFTWARE MAINTENANCE AND LICENSING,958008,958008,928276
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0150,OUTSIDE GRAPHIC SERVICES,6000,6000,6000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0152,ADVERTISING,0,0,5000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,RENTAL EQUIPMENT AND SERVICES,48779,48779,48779
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,LEASE/PURCHASE EQUIPMENT,129501,129501,129501
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,REPAIR/MAINT EQUIPMENT,1000,1000,1000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,DUES  SUBSC & MEM,18282,18282,16197
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,TECHNICAL MEETING COSTS,140874,140874,145600
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,MOBILE COMMUNICATION SERVICES,28435,28435,29929
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,TELEPHONE - NON-CENTREX BILLINGS,64975,64975,64969
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,REIMBURSEMENT TO TRAVELERS,15821,15821,12310
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,LOCAL TRANSPORTATION,31025,31025,31277
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,GASOLINE,2506,2506,2506
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,MATERIAL AND SUPPLIES,5423,5423,5423
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,BOOKS AND RELATED MATERIAL,1273,1273,1273
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,STATIONERY AND OFFICE SUPPLIES,28326,28326,27844
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0446,PURCHASE - IT HARDWARE,88477,88477,88477
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,CONTINGENCIES,97060,97060,97060
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,9438,REIMBURSEMENT - FFM,2000,2000,2000
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,SALARIES AND WAGES - ON PAYROLL,1135473,1135473,1213850
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,SCHEDULE SALARY ADJUSTMENTS,9677,9677,46761
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,POSTAGE,309,309,251
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,PROFESSIONAL AND TECHNICAL SERVICES,1268,1268,1268
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,COURT REPORTING,9808,9808,9808
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,SOFTWARE MAINTENANCE AND LICENSING,35801,35801,43980
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,RENTAL EQUIPMENT AND SERVICES,7307,7307,7307
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,LEASE/PURCHASE EQUIPMENT,1295,1295,1295
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,REPAIR/MAINT EQUIPMENT,1632,1632,1632
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,DUES  SUBSC & MEM,2390,2390,3179
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,TECHNICAL MEETING COSTS,20868,20868,19200
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,MOBILE COMMUNICATION SERVICES,4155,4155,3900
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,TELEPHONE - NON-CENTREX BILLINGS,7596,7596,8103
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,REIMBURSEMENT TO TRAVELERS,126,126,1124
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,LOCAL TRANSPORTATION,948,948,692
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,GASOLINE,386,386,386
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,MATERIAL AND SUPPLIES,821,821,820
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,BOOKS AND RELATED MATERIAL,288,288,288
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,STATIONERY AND OFFICE SUPPLIES,3133,3133,3865
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,CONTINGENCIES,1215,1215,1215
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,SALARIES AND WAGES - ON PAYROLL,686338,686338,753923
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,SCHEDULE SALARY ADJUSTMENTS,3653,3653,29883
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,POSTAGE,173,173,142
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,PROFESSIONAL AND TECHNICAL SERVICES,1269,1269,1269
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,COURT REPORTING,9808,9808,9808
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,SOFTWARE MAINTENANCE AND LICENSING,20623,20623,27715
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,RENTAL EQUIPMENT AND SERVICES,5813,5813,5813
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,LEASE/PURCHASE EQUIPMENT,601,601,601
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,REPAIR/MAINT EQUIPMENT,54,54,54
