fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,DUES  SUBSC & MEM,1337,1337,1384
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,TECHNICAL MEETING COSTS,12173,12173,11200
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,MOBILE COMMUNICATION SERVICES,2719,2719,2373
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,TELEPHONE - NON-CENTREX BILLINGS,3321,3321,3277
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,REIMBURSEMENT TO TRAVELERS,105,105,883
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,LOCAL TRANSPORTATION,397,397,428
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,GASOLINE,386,386,386
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,MATERIAL AND SUPPLIES,322,322,326
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,BOOKS AND RELATED MATERIAL,173,173,173
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,STATIONERY AND OFFICE SUPPLIES,1225,1225,1225
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,CONTINGENCIES,1725,1725,1725
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,SALARIES AND WAGES - ON PAYROLL,210672,210672,220356
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,SCHEDULE SALARY ADJUSTMENTS,6140,6140,2156
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,POSTAGE,72,72,58
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,PROFESSIONAL AND TECHNICAL SERVICES,847,847,847
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,COURT REPORTING,6538,6538,6538
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,SOFTWARE MAINTENANCE AND LICENSING,9183,9183,13883
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,RENTAL EQUIPMENT AND SERVICES,3876,3876,3876
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,LEASE/PURCHASE EQUIPMENT,254,254,254
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,DUES  SUBSC & MEM,457,457,643
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,TECHNICAL MEETING COSTS,5217,5217,4800
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,MOBILE COMMUNICATION SERVICES,1330,1330,1071
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,TELEPHONE - NON-CENTREX BILLINGS,1568,1568,1552
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,REIMBURSEMENT TO TRAVELERS,63,63,416
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,LOCAL TRANSPORTATION,210,210,170
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,GASOLINE,257,257,257
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,MATERIAL AND SUPPLIES,135,135,135
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,BOOKS AND RELATED MATERIAL,16,16,16
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,STATIONERY AND OFFICE SUPPLIES,512,512,512
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,SALARIES AND WAGES - ON PAYROLL,1108004,1108004,1156891
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,SCHEDULE SALARY ADJUSTMENTS,11427,11427,11337
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,POSTAGE,299,299,198
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,PROFESSIONAL AND TECHNICAL SERVICES,2116,2116,2116
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,COURT REPORTING,16346,16346,16346
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,SOFTWARE MAINTENANCE AND LICENSING,24085,24085,33846
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,RENTAL EQUIPMENT AND SERVICES,10187,10187,10187
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,LEASE/PURCHASE EQUIPMENT,1109,1109,1109
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0162,REPAIR/MAINT EQUIPMENT,65,65,65
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,DUES  SUBSC & MEM,2029,2029,3092
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,TECHNICAL MEETING COSTS,20868,20868,19200
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,MOBILE COMMUNICATION SERVICES,3929,3929,3295
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,TELEPHONE - NON-CENTREX BILLINGS,6424,6424,5983
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,REIMBURSEMENT TO TRAVELERS,210,210,1592
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,LOCAL TRANSPORTATION,732,732,745
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,GASOLINE,642,642,642
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,MATERIAL AND SUPPLIES,635,635,632
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,BOOKS AND RELATED MATERIAL,160,160,160
LOCAL,0740,Chicago O'Hare Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,STATIONERY AND OFFICE SUPPLIES,2315,2315,2065
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,SALARIES AND WAGES - ON PAYROLL,3245030,3245030,3759517
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,SCHEDULE SALARY ADJUSTMENTS,16347,16347,87935
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0039,STUDENT AS TRAINEES,37500,37500,37500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0130,POSTAGE,5000,5000,1500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,PROFESSIONAL AND TECHNICAL SERVICES,5500,5500,24500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0152,ADVERTISING,1000,1000,1000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0157,RENTAL EQUIPMENT AND SERVICES,10000,10000,8000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0166,DUES  SUBSC & MEM,0,0,2000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0169,TECHNICAL MEETING COSTS,1000,1000,1000
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0229,TRANSPORTATION AND EXPENSE ALLOWANCE,0,0,9500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0270,LOCAL TRANSPORTATION,500,500,500
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0348,BOOKS AND RELATED MATERIAL,400,400,200
LOCAL,0100,Corporate Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0350,STATIONERY AND OFFICE SUPPLIES,5400,5400,5400
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,SALARIES AND WAGES - ON PAYROLL,241596,241596,262750
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,SCHEDULE SALARY ADJUSTMENTS,0,0,14567
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,PROFESSIONAL AND TECHNICAL SERVICES,0,0,1000
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,SALARIES AND WAGES - ON PAYROLL,183600,183600,302500
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,SCHEDULE SALARY ADJUSTMENTS,1074,1074,8783
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,PROFESSIONAL AND TECHNICAL SERVICES,0,0,1500
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0005,SALARIES AND WAGES - ON PAYROLL,0,0,1911361
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0015,SCHEDULE SALARY ADJUSTMENTS,0,0,38245
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,IT MAINTENANCE,0,0,4641709
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,PROFESSIONAL AND TECHNICAL SERVICES,0,0,1453850
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,SOFTWARE MAINTENANCE AND LICENSING,0,0,14321643
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,REPAIR/MAINT EQUIPMENT,0,0,1919995
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,DUES  SUBSC & MEM,0,0,540542
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0169,TECHNICAL MEETING COSTS,0,0,61672
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,MOBILE COMMUNICATION SERVICES,0,0,1380668
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,VEHICLE TRACKING SERVICE,0,0,860906
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,TELEPHONE - NON-CENTREX BILLINGS,0,0,109397
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,TELEPHONE - CENTREX BILLINGS,0,0,1864730
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,DATA CIRCUITS,0,0,1010516
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0197,TELEPHONE - MAINTENANCE,0,0,200843
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0340,MATERIAL AND SUPPLIES,0,0,10000
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0348,BOOKS AND RELATED MATERIAL,0,0,5000
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0350,STATIONERY AND OFFICE SUPPLIES,0,0,15000
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0005,SALARIES AND WAGES - ON PAYROLL,0,0,10913577
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2150,Bureau of Centralized Information Technology,0015,SCHEDULE SALARY ADJUSTMENTS,0,0,1512
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,IT MAINTENANCE,0,0,1674961
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0139,IT DEVELOPMENT,0,0,618000
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,PROFESSIONAL AND TECHNICAL SERVICES,0,0,5805732
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,SOFTWARE MAINTENANCE AND LICENSING,0,0,647542
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,REPAIR/MAINT EQUIPMENT,0,0,106561
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,DUES  SUBSC & MEM,0,0,1874
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,MOBILE COMMUNICATION SERVICES,0,0,174288
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,VEHICLE TRACKING SERVICE,0,0,262255
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,TELEPHONE - NON-CENTREX BILLINGS,0,0,19966
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,TELEPHONE - CENTREX BILLINGS,0,0,201447
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,DATA CIRCUITS,0,0,506330
LOCAL,0200,Water Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0197,TELEPHONE - MAINTENANCE,0,0,30925
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,IT MAINTENANCE,0,0,85228
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,PROFESSIONAL AND TECHNICAL SERVICES,0,0,30713
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,SOFTWARE MAINTENANCE AND LICENSING,0,0,272359
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,REPAIR/MAINT EQUIPMENT,0,0,68760
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,DUES  SUBSC & MEM,0,0,1209
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,MOBILE COMMUNICATION SERVICES,0,0,289209
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,VEHICLE TRACKING SERVICE,0,0,88065
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,TELEPHONE - NON-CENTREX BILLINGS,0,0,2096
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,TELEPHONE - CENTREX BILLINGS,0,0,96052
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,DATA CIRCUITS,0,0,48148
LOCAL,0300,Vehicle Tax Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0197,TELEPHONE - MAINTENANCE,0,0,7712
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,IT MAINTENANCE,0,0,41719
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,PROFESSIONAL AND TECHNICAL SERVICES,0,0,15033
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,SOFTWARE MAINTENANCE AND LICENSING,0,0,133311
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,REPAIR/MAINT EQUIPMENT,0,0,33656
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,DUES  SUBSC & MEM,0,0,592
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,VEHICLE TRACKING SERVICE,0,0,34123
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0190,TELEPHONE - CENTREX BILLINGS,0,0,31602
LOCAL,0314,Sewer Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0196,DATA CIRCUITS,0,0,17791
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,MOBILE COMMUNICATION SERVICES,0,0,4344
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0188,VEHICLE TRACKING SERVICE,0,0,6362
LOCAL,0346,Library Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0189,TELEPHONE - NON-CENTREX BILLINGS,0,0,65539
