fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0005,SALARIES AND WAGES - ON PAYROLL,1397580.00,1397580.00,1235614.00
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0015,SCHEDULE SALARY ADJUSTMENTS,25730.00,25730.00,11083.00
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0039,STUDENT AS TRAINEES,26108.00,26108.00,26108.00
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0044,FRINGE BENEFITS,832930.00,832930.00,723000.00
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0140,PROFESSIONAL AND TECHNICAL SERVICES,508358.00,508358.00,696301.00
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0152,ADVERTISING,10000.00,10000.00,0
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0166,DUES  SUBSC & MEM,894.00,894.00,894.00
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0169,TECHNICAL MEETING COSTS,10000.00,10000.00,0
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0245,REIMBURSEMENT TO TRAVELERS,5400.00,5400.00,0
GRANTS,0075,Grants Management Fund,5,Office of Budget and Management,2855,CTY - Grants Management,0350,STATIONERY AND OFFICE SUPPLIES,5000.00,5000.00,5000.00
GRANTS,0075,Grants Management Fund,21,Department of Housing,2846,CTY - Housing Preservation,0005,SALARIES AND WAGES - ON PAYROLL,363191.00,363191.00,404374.00
GRANTS,0075,Grants Management Fund,21,Department of Housing,2846,CTY - Housing Preservation,0006,SALARY PROVISION,358.00,358.00,0
GRANTS,0075,Grants Management Fund,21,Department of Housing,2846,CTY - Housing Preservation,0015,SCHEDULE SALARY ADJUSTMENTS,15997.00,15997.00,15086.00
GRANTS,0075,Grants Management Fund,21,Department of Housing,2846,CTY - Housing Preservation,0044,FRINGE BENEFITS,216454.00,216454.00,232540.00
GRANTS,0075,Grants Management Fund,21,Department of Housing,2847,CTY - Homeownership Programs,0005,SALARIES AND WAGES - ON PAYROLL,466159.00,466159.00,448928.00
GRANTS,0075,Grants Management Fund,21,Department of Housing,2847,CTY - Homeownership Programs,0015,SCHEDULE SALARY ADJUSTMENTS,6020.00,6020.00,7961.00
GRANTS,0075,Grants Management Fund,21,Department of Housing,2847,CTY - Homeownership Programs,0044,FRINGE BENEFITS,277821.00,277821.00,268111.00
GRANTS,0075,Grants Management Fund,27,Department of Finance,2855,CTY - Grants Management,0005,SALARIES AND WAGES - ON PAYROLL,1297067.00,1297067.00,3055650.00
GRANTS,0075,Grants Management Fund,27,Department of Finance,2855,CTY - Grants Management,0006,SALARY PROVISION,12140.00,12140.00,0
GRANTS,0075,Grants Management Fund,27,Department of Finance,2855,CTY - Grants Management,0015,SCHEDULE SALARY ADJUSTMENTS,12868.00,12868.00,46843.00
GRANTS,0075,Grants Management Fund,27,Department of Finance,2855,CTY - Grants Management,0044,FRINGE BENEFITS,803793.00,803793.00,2251350.00
GRANTS,0075,Grants Management Fund,27,Department of Finance,2855,CTY - Grants Management,0140,PROFESSIONAL AND TECHNICAL SERVICES,185737.00,185737.00,185737.00
