fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0020,OVERTIME,148336.00,148336.00,90000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0050,STIPENDS,43700.00,43700.00,18500.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0091,UNIFORM ALLOWANCE,18500.00,18500.00,16400.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0125,OFFICE AND BUILDING SERVICES,292090.00,292090.00,130000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0130,POSTAGE,28000.00,28000.00,28000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0135,DELEGATE AGENCIES,21689245.00,21689245.00,21521382.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0140,PROFESSIONAL AND TECHNICAL SERVICES,7434310.00,7434310.00,6013734.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0148,TESTING AND INSPECTING,2000.00,2000.00,500.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0149,SOFTWARE MAINTENANCE AND LICENSING,98377.00,98377.00,83743.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0150,OUTSIDE GRAPHIC SERVICES,70000.00,70000.00,30000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0159,LEASE/PURCHASE EQUIPMENT,106788.00,106788.00,103230.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0162,REPAIR/MAINT EQUIPMENT,17300.00,17300.00,17300.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0166,DUES  SUBSC & MEM,101358.00,101358.00,65123.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0169,TECHNICAL MEETING COSTS,42497.00,42497.00,42497.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0179,MESSENGER SERVICES,5000.00,5000.00,5000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0181,MOBILE COMMUNICATION SERVICES,308812.00,308812.00,308812.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0229,TRANSPORTATION AND EXPENSE ALLOWANCE,11000.00,11000.00,11000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0245,REIMBURSEMENT TO TRAVELERS,15000.00,15000.00,5000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0270,LOCAL TRANSPORTATION,3150.00,3150.00,3150.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0330,FOOD,1220.00,1220.00,0.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0340,MATERIAL AND SUPPLIES,49088.00,49088.00,75488.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,957645.00,957645.00,987895.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0350,STATIONERY AND OFFICE SUPPLIES,35000.00,35000.00,48000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0424,FURNITURE AND FURNISHINGS,530000.00,530000.00,0.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0446,PURCHASE - IT HARDWARE,146015.00,146015.00,80000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,9254,VIOLENCE REDUCTION PROGRAM,14460000.00,14460000.00,14460000.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,9283,CARE PILOT PROGRAM,1000000.00,1000000.00,892200.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,9296,REPRODUCTIVE HEALTH INITIATIVE,2820458.00,2820458.00,2820458.00
LOCAL,0100,Corporate Fund,41,Chicago Department of Public Health,1005,Department of Public Health,9438,REIMBURSEMENT - FFM,82500.00,82500.00,82500.00
LOCAL,0B89,Opioid Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0005,SALARIES AND WAGES - ON PAYROLL,2076312.00,2076312.00,2297173.00
LOCAL,0B89,Opioid Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0015,SCHEDULE SALARY ADJUSTMENTS,6042.00,6042.00,23496.00
LOCAL,0B89,Opioid Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0135,DELEGATE AGENCIES,12750000.00,12750000.00,10000000.00
LOCAL,0B89,Opioid Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0140,PROFESSIONAL AND TECHNICAL SERVICES,549582.00,549582.00,450000.00
LOCAL,0B89,Opioid Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0150,OUTSIDE GRAPHIC SERVICES,25000.00,25000.00,25000.00
LOCAL,0B89,Opioid Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0181,MOBILE COMMUNICATION SERVICES,4380.00,4380.00,4380.00
LOCAL,0B89,Opioid Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0245,REIMBURSEMENT TO TRAVELERS,8000.00,8000.00,16000.00
LOCAL,0B89,Opioid Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0340,MATERIAL AND SUPPLIES,550684.00,550684.00,625684.00
LOCAL,0B89,Opioid Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0446,PURCHASE - IT HARDWARE,30000.00,30000.00,30000.00
LOCAL,0B90,Vaping Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0005,SALARIES AND WAGES - ON PAYROLL,545033.00,545033.00,443443.00
LOCAL,0B90,Vaping Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0015,SCHEDULE SALARY ADJUSTMENTS,1920.00,1920.00,2094.00
LOCAL,0B90,Vaping Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0135,DELEGATE AGENCIES,949131.00,949131.00,925000.00
LOCAL,0B90,Vaping Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0140,PROFESSIONAL AND TECHNICAL SERVICES,475000.00,475000.00,500000.00
LOCAL,0B90,Vaping Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0150,OUTSIDE GRAPHIC SERVICES,0.00,0.00,20000.00
LOCAL,0B90,Vaping Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0190,TELEPHONE - CENTREX BILLINGS,450.00,450.00,675.00
LOCAL,0B90,Vaping Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0245,REIMBURSEMENT TO TRAVELERS,10000.00,10000.00,10000.00
LOCAL,0B90,Vaping Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0340,MATERIAL AND SUPPLIES,13790.00,13790.00,11050.00
LOCAL,0B90,Vaping Settlement Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0446,PURCHASE - IT HARDWARE,4676.00,4676.00,7014.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0005,SALARIES AND WAGES - ON PAYROLL,61565.00,61565.00,96542.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0015,SCHEDULE SALARY ADJUSTMENTS,0.00,0.00,184.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0091,UNIFORM ALLOWANCE,300.00,300.00,0.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0149,SOFTWARE MAINTENANCE AND LICENSING,170336.00,170336.00,175136.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0169,TECHNICAL MEETING COSTS,500.00,500.00,8500.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0181,MOBILE COMMUNICATION SERVICES,876.00,876.00,7008.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0189,TELEPHONE - NON-CENTREX BILLINGS,0.00,0.00,1600.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0229,TRANSPORTATION AND EXPENSE ALLOWANCE,1100.00,1100.00,3600.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0319,CLOTHING,300.00,300.00,8000.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0340,MATERIAL AND SUPPLIES,473.00,473.00,2500.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0350,STATIONERY AND OFFICE SUPPLIES,2550.00,2550.00,1000.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0446,PURCHASE - IT HARDWARE,0.00,0.00,20000.00
LOCAL,0B92,Construction and Demolition Debris Management Fund,41,Chicago Department of Public Health,1005,Department of Public Health,0450,VEHICLES,176000.00,176000.00,200000.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0005,SALARIES AND WAGES - ON PAYROLL,1227415.00,1227415.00,1372282.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0015,SCHEDULE SALARY ADJUSTMENTS,22166.00,22166.00,15380.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0020,OVERTIME,1429.00,1429.00,1429.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0039,STUDENT AS TRAINEES,23068.00,23068.00,0.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0130,POSTAGE,3000.00,3000.00,4000.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0140,PROFESSIONAL AND TECHNICAL SERVICES,46245.00,46245.00,39937.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0143,COURT REPORTING,4400.00,4400.00,4400.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0149,SOFTWARE MAINTENANCE AND LICENSING,2247.00,2247.00,2554.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0152,ADVERTISING,4400.00,4400.00,0.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0159,LEASE/PURCHASE EQUIPMENT,3777.00,3777.00,3777.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0166,DUES  SUBSC & MEM,18710.00,18710.00,19241.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0169,TECHNICAL MEETING COSTS,6435.00,6435.00,0.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0245,REIMBURSEMENT TO TRAVELERS,3000.00,3000.00,0.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0270,LOCAL TRANSPORTATION,6100.00,6100.00,3000.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,0350,STATIONERY AND OFFICE SUPPLIES,3600.00,3600.00,4600.00
LOCAL,0100,Corporate Fund,45,Chicago Commission on Human Relations,2005,Chicago Commission on Human Relations,9438,REIMBURSEMENT - FFM,3000.00,3000.00,3000.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0005,SALARIES AND WAGES - ON PAYROLL,2271711.00,2271711.00,2416672.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0015,SCHEDULE SALARY ADJUSTMENTS,38834.00,38834.00,44705.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0039,STUDENT AS TRAINEES,41750.00,41750.00,41750.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0130,POSTAGE,1800.00,1800.00,1800.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0135,DELEGATE AGENCIES,650000.00,650000.00,400000.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0140,PROFESSIONAL AND TECHNICAL SERVICES,362312.00,362312.00,208727.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0149,SOFTWARE MAINTENANCE AND LICENSING,7551.00,7551.00,149576.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0159,LEASE/PURCHASE EQUIPMENT,10915.00,10915.00,9544.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0169,TECHNICAL MEETING COSTS,4979.00,4979.00,1580.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0245,REIMBURSEMENT TO TRAVELERS,7000.00,7000.00,7000.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0270,LOCAL TRANSPORTATION,7201.00,7201.00,6440.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0340,MATERIAL AND SUPPLIES,10699.00,10699.00,10699.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0350,STATIONERY AND OFFICE SUPPLIES,12387.00,12387.00,12387.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,0446,PURCHASE - IT HARDWARE,54170.00,54170.00,10000.00
LOCAL,0100,Corporate Fund,48,Mayor's Office for People with Disabilities,2005,Mayor's Office for People with Disabilities,9438,REIMBURSEMENT - FFM,15000.00,15000.00,15000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0005,SALARIES AND WAGES - ON PAYROLL,11948114.00,11948114.00,11987566.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0015,SCHEDULE SALARY ADJUSTMENTS,197488.00,197488.00,199618.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0125,OFFICE AND BUILDING SERVICES,4790.00,4790.00,7690.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0130,POSTAGE,13000.00,13000.00,13000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0135,DELEGATE AGENCIES,1350000.00,1350000.00,1350000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0138,IT MAINTENANCE,480800.00,480800.00,480800.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0140,PROFESSIONAL AND TECHNICAL SERVICES,607000.00,607000.00,212000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0149,SOFTWARE MAINTENANCE AND LICENSING,25000.00,25000.00,11800.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0152,ADVERTISING,4800.00,4800.00,6000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0159,LEASE/PURCHASE EQUIPMENT,162394.00,162394.00,162394.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0166,DUES  SUBSC & MEM,14049.00,14049.00,14049.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0169,TECHNICAL MEETING COSTS,40000.00,40000.00,40000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0229,TRANSPORTATION AND EXPENSE ALLOWANCE,565.00,565.00,878.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0245,REIMBURSEMENT TO TRAVELERS,7500.00,7500.00,6500.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0270,LOCAL TRANSPORTATION,300.00,300.00,0.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0340,MATERIAL AND SUPPLIES,10500.00,10500.00,19500.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0350,STATIONERY AND OFFICE SUPPLIES,13400.00,13400.00,13400.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9143,WORKFORCE SERVICES  TARGET POPULATION,2234410.00,2234410.00,1884410.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9204,YOUTH MENTORING PROGRAMS,7414700.00,7414700.00,6724700.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9220,CHICAGO YOUTH SERVICES CORP,1373452.00,1373452.00,0.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9241,CRIMINAL JUSTICE INITIATIVES,1000000.00,1000000.00,1000000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9253,EARLY CHILDHOOD EDUCATION PROGRAM,13033000.00,13033000.00,11033000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9254,VIOLENCE REDUCTION PROGRAM,6594025.00,6594025.00,6261025.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9255,HOMELESS SERVICES FOR YOUTH,1540979.00,1540979.00,1540979.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9259,SUMMER PROGRAMS,24058112.00,24058112.00,45430197.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9260,AFTER SCHOOL PROGRAMS,15969124.00,15969124.00,15705124.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9261,CHILDREN'S ADVOCACY CENTER,1050000.00,1050000.00,1050000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9262,EITC,850000.00,850000.00,850000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9263,HOMELESS SERVICES,21549069.00,21549069.00,50147659.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9267,FLEXIBLE HOUSING POOL,6000000.00,6000000.00,6000000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9291,LEGAL PROTECTION FUND,1550000.00,1550000.00,1550000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9299,GENDER BASED VIOLENCE SERVICES,1000000.00,1000000.00,1500000.00
LOCAL,0100,Corporate Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9438,REIMBURSEMENT - FFM,154105.00,154105.00,154105.00
LOCAL,0B93,Houseshare Surcharge - Homeless Services Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,9263,HOMELESS SERVICES,13708000.00,13708000.00,13708000.00
LOCAL,0B94,Houseshare Surcharge - Domestic Violence Fund,50,Department of Family and Support Services,2005,Department of Family and Support Services,0135,DELEGATE AGENCIES,10177040.00,10177040.00,9016000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0005,SALARIES AND WAGES - ON PAYROLL,20530140.00,20530140.00,18572225.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0012,CONTRACT WAGE - PREVAILING RATE,7120.00,7120.00,6315.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0015,SCHEDULE SALARY ADJUSTMENTS,184009.00,184009.00,222549.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0020,OVERTIME,355000.00,355000.00,355000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0091,UNIFORM ALLOWANCE,10000.00,10000.00,10000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0130,POSTAGE,255436.00,255436.00,255436.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0138,IT MAINTENANCE,4121243.00,4121243.00,4148358.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0140,PROFESSIONAL AND TECHNICAL SERVICES,6161484.00,5853484.00,5890847.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0149,SOFTWARE MAINTENANCE AND LICENSING,6458328.00,6458328.00,6635300.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0152,ADVERTISING,2400.00,2400.00,2400.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0157,RENTAL EQUIPMENT AND SERVICES,9684407.00,9992407.00,9689016.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0159,LEASE/PURCHASE EQUIPMENT,83415.00,83415.00,110000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0161,MAINT FACILITIES,170000.00,170000.00,170000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0162,REPAIR/MAINT EQUIPMENT,251538.00,251538.00,304538.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0166,DUES  SUBSC & MEM,23022.00,23022.00,23022.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0169,TECHNICAL MEETING COSTS,58550.00,58550.00,34550.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0178,FREIGHT AND EXPRESS CHARGES,14000.00,14000.00,14000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0181,MOBILE COMMUNICATION SERVICES,3240000.00,3240000.00,3240000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0186,PAGERS,400.00,400.00,400.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0189,TELEPHONE - NON-CENTREX BILLINGS,690800.00,690800.00,690800.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0190,TELEPHONE - CENTREX BILLINGS,92000.00,92000.00,92000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0196,DATA CIRCUITS,1632000.00,1632000.00,1632000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0197,TELEPHONE - MAINTENANCE,27000.00,27000.00,27000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0245,REIMBURSEMENT TO TRAVELERS,42000.00,42000.00,41500.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0320,GASOLINE,60000.00,60000.00,60000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0330,FOOD,59580.00,59580.00,59580.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0338,LICENSE STICKER TAG AND PLATES,3524.00,3524.00,3524.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0340,MATERIAL AND SUPPLIES,2236785.00,2236785.00,2349185.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,25600.00,25600.00,25600.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0348,BOOKS AND RELATED MATERIAL,500.00,500.00,500.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0350,STATIONERY AND OFFICE SUPPLIES,573890.00,573890.00,573890.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0360,REPAIR PARTS AND MATERIAL,326500.00,326500.00,346500.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0422,OFFICE MACHINES,2000.00,2000.00,2000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0424,FURNITURE AND FURNISHINGS,200000.00,200000.00,200000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,9067,PHYSICAL EXAMS,2486176.00,2486176.00,2204176.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,9295,CONSENT DECREE,3739930.00,3739930.00,3375000.00
LOCAL,0100,Corporate Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,9438,REIMBURSEMENT - FFM,20000.00,20000.00,20000.00
LOCAL,0353,Emergency Communication Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0005,SALARIES AND WAGES - ON PAYROLL,12699474.00,12699474.00,13274780.00
LOCAL,0353,Emergency Communication Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0012,CONTRACT WAGE - PREVAILING RATE,162296.00,162296.00,166477.00
LOCAL,0353,Emergency Communication Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0015,SCHEDULE SALARY ADJUSTMENTS,22373.00,22373.00,22833.00
LOCAL,0353,Emergency Communication Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0020,OVERTIME,683024.00,683024.00,683024.00
LOCAL,0353,Emergency Communication Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0138,IT MAINTENANCE,13558225.00,13558225.00,13810225.00
LOCAL,0353,Emergency Communication Fund,51,Office of Public Safety Administration,2005,Office of Public Safety Administration,0139,IT DEVELOPMENT,14000000.00,14000000.00,14000000.00
