fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation_ordinance
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,COMMISSIONER'S OFFICE,196,DATA CIRCUITS,1400
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,COMMISSIONER'S OFFICE,197,TELEPHONE-MAINTENANCE,10000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,COMMISSIONER'S OFFICE,245,REIMBURSEMENT TRAVELERS,500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,COMMISSIONER'S OFFICE,340,MATERIAL AND SUPPLIES,2500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,COMMISSIONER'S OFFICE,348,BOOKS AND RELATED MTL,200
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,COMMISSIONER'S OFFICE,350,STATIONERY AND OFFICE SUPPL,6100
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2005,COMMISSIONER'S OFFICE,931,TORT/NON-TORT JUDGMENT,540000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,5,SALARIES AND WAGES - ON PAYROLL,6834959
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,12,CONTRACT WAGE-PR,24138
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,15,SCHEDULE SALARY ADJ,10702
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,20,OVERTIME,1000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,130,POSTAGE,3000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,140,PROF & TECHNICAL SERVICES,2500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,159,LEASE PURCHASE AGREEMNT,25928
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,162,REPAIR/MAINT EQUIPMENT,7000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,190,TELEPHONE-CENTREX,8000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,197,TELEPHONE-MAINTENANCE,1500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,229,TRAN/EXP ALLOWANCE,500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,270,LOCAL TRANSPORTATION,100
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,319,CLOTHING,600
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,340,MATERIAL AND SUPPLIES,3000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,350,STATIONERY AND OFFICE SUPPL,6000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2006,ADMINISTRATIVE SERV DIVISION,440,MACHINERY AND EQUIPMENT,100
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,5,SALARIES AND WAGES - ON PAYROLL,100249611
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,12,CONTRACT WAGE-PR,617286
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,15,SCHEDULE SALARY ADJ,102684
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,20,OVERTIME,3661453
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,126,OFFICE CONVENIENCES,870
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,130,POSTAGE,3525
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,140,PROF & TECHNICAL SERVICES,10533441
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,150,PUBLICATN & REPRODT-OUT,8000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,157,RENTAL EQUIPMENT AND SERVICES,161760
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,159,LEASE PURCHASE AGREEMNT,98055
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,160,REPAIR/MAINT PROPERTY,1000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,162,REPAIR/MAINT EQUIPMENT,16763
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,181,MOBILE COMM SERVICES,114000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,185,WASTE DISPOSAL SERV,40909993
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,188,VEHICLE TRACKING SERVICE,294340
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,189,TELEPHONE NON-CENTREX,650
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,190,TELEPHONE-CENTREX,85000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,196,DATA CIRCUITS,28000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,197,TELEPHONE-MAINTENANCE,12000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,229,TRAN/EXP ALLOWANCE,500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,245,REIMBURSEMENT TRAVELERS,1000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,313,CLEANING AND SAN SUPPLY,24500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,319,CLOTHING,85069
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,340,MATERIAL AND SUPPLIES,130481
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,350,STATIONERY AND OFFICE SUPPL,15000
Local,300,VEHICLE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,130,POSTAGE,5600
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,401,TOOL <= $100 UNIT,68500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2020,BUREAU OF SANITATION,423,COMMUNICATION DEVICES,42100
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,15980329
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,12,CONTRACT WAGE-PR,88764
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,15,SCHEDULE SALARY ADJ,16201
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,20,OVERTIME,42500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,140,PROF & TECHNICAL SERVICES,600000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,1621742
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,10000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,166,DUES  SUBSC & MEM,500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,169,TECHNICAL MEETING COSTS,1250
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,229,TRAN/EXP ALLOWANCE,500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,313,CLEANING AND SAN SUPPLY,325
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,319,CLOTHING,15000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,340,MATERIAL AND SUPPLIES,75000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,341,CHEMICALS,124000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,350,STATIONERY AND OFFICE SUPPL,5500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,360,REPAIR PARTS AND MATERIAL,2500
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,362,PAINT/PAINTING SUPPLIES,150000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,401,TOOL <= $100 UNIT,6100
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2045,BUREAU OF STREET OPERATIONS,423,COMMUNICATION DEVICES,40600
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,5,SALARIES AND WAGES - ON PAYROLL,12072224
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,12,CONTRACT WAGE-PR,168750
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,15,SCHEDULE SALARY ADJ,7632
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,20,OVERTIME,99938
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,126,OFFICE CONVENIENCES,1422
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,130,POSTAGE,150
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,140,PROF & TECHNICAL SERVICES,1184120
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,154,RENTAL-DATA HARDWARE EQ,2823
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,157,RENTAL EQUIPMENT AND SERVICES,717552
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,159,LEASE PURCHASE AGREEMNT,7911
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,160,REPAIR/MAINT PROPERTY,518
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,162,REPAIR/MAINT EQUIPMENT,5214
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,181,MOBILE COMM SERVICES,41100
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,188,VEHICLE TRACKING SERVICE,72150
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,190,TELEPHONE-CENTREX,11000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,197,TELEPHONE-MAINTENANCE,2600
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,229,TRAN/EXP ALLOWANCE,32000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,245,REIMBURSEMENT TRAVELERS,250
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,313,CLEANING AND SAN SUPPLY,2813
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,319,CLOTHING,6900
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,340,MATERIAL AND SUPPLIES,24867
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,345,APPARATUS AND INSTRUMENTS,657
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,350,STATIONERY AND OFFICE SUPPL,6000
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,360,REPAIR PARTS AND MATERIAL,35534
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,361,BUILDING MATERIAL SUPPL,1823
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,362,PAINT/PAINTING SUPPLIES,952
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,363,STRUCTURE STEEL IRON OT,308
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,423,COMMUNICATION DEVICES,13630
Local,100,CORPORATE FUND,81,DEPT STREETS AND SANITATION,2060,BUREAU OF FORESTRY,440,MACHINERY AND EQUIPMENT,150
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,5,SALARIES AND WAGES - ON PAYROLL,1095222
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,15,SCHEDULE SALARY ADJ,6683
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,130,POSTAGE,2000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,140,PROF & TECHNICAL SERVICES,200000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,150,PUBLICATN & REPRODT-OUT,450
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,157,RENTAL EQUIPMENT AND SERVICES,13000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,160,REPAIR/MAINT PROPERTY,3000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,162,REPAIR/MAINT EQUIPMENT,10000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,166,DUES  SUBSC & MEM,5000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,169,TECHNICAL MEETING COSTS,1500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,178,FREIGHT/EXPENSE CHARGES,250
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,181,MOBILE COMM SERVICES,3300
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,190,TELEPHONE-CENTREX,18000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,191,TELEPHONE-RELOCATIONS,1400
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,197,TELEPHONE-MAINTENANCE,9000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,245,REIMBURSEMENT TRAVELERS,1600
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,270,LOCAL TRANSPORTATION,200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,340,MATERIAL AND SUPPLIES,3000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,350,STATIONERY AND OFFICE SUPPL,3500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2105,COMMISSIONER'S OFFICE,931,TORT/NON-TORT JUDGMENT,1890000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,5,SALARIES AND WAGES - ON PAYROLL,5199412
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,12,CONTRACT WAGE-PR,1088
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,15,SCHEDULE SALARY ADJ,22635
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,39,STUDENT AS TRAINEES,18750
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,130,POSTAGE,3000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,140,PROF & TECHNICAL SERVICES,115000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,149,SOFTWARE MAINT/LICENSING,12000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,150,PUBLICATN & REPRODT-OUT,1000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,152,ADVERTISING,1000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,154,RENTAL-DATA HARDWARE EQ,1000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,157,RENTAL EQUIPMENT AND SERVICES,16000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,160,REPAIR/MAINT PROPERTY,8000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,162,REPAIR/MAINT EQUIPMENT,57000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,169,TECHNICAL MEETING COSTS,2000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,171,MISC SUPPLIES,250
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,178,FREIGHT/EXPENSE CHARGES,300
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,181,MOBILE COMM SERVICES,51000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,190,TELEPHONE-CENTREX,30000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,191,TELEPHONE-RELOCATIONS,1000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,197,TELEPHONE-MAINTENANCE,16000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,245,REIMBURSEMENT TRAVELERS,800
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,270,LOCAL TRANSPORTATION,500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,340,MATERIAL AND SUPPLIES,31100
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,348,BOOKS AND RELATED MTL,3000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2115,ADMINISTRATION,350,STATIONERY AND OFFICE SUPPL,9000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,800708
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,15,SCHEDULE SALARY ADJ,3644
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,20,OVERTIME,900
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,130,POSTAGE,400
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,140,PROF & TECHNICAL SERVICES,15000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,150,PUBLICATN & REPRODT-OUT,500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,11520
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,160,REPAIR/MAINT PROPERTY,3500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,161,MAINT FACILITIES,5000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,19459320
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,181,MOBILE COMM SERVICES,27500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,188,VEHICLE TRACKING SERVICE,10320
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,190,TELEPHONE-CENTREX,15000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,197,TELEPHONE-MAINTENANCE,10000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,229,TRAN/EXP ALLOWANCE,300
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,313,CLEANING AND SAN SUPPLY,617
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,340,MATERIAL AND SUPPLIES,29875
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,INFRASTRUCTURE MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,3500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,5,SALARIES AND WAGES - ON PAYROLL,3515026
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,15,SCHEDULE SALARY ADJ,12851
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,20,OVERTIME,8200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,39,STUDENT AS TRAINEES,44000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,130,POSTAGE,3000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,140,PROF & TECHNICAL SERVICES,374839
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,149,SOFTWARE MAINT/LICENSING,17000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,150,PUBLICATN & REPRODT-OUT,1500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,152,ADVERTISING,8665
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,153,PROMOTIONS,1200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,157,RENTAL EQUIPMENT AND SERVICES,30000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,162,REPAIR/MAINT EQUIPMENT,20000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,166,DUES  SUBSC & MEM,12200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,169,TECHNICAL MEETING COSTS,6600
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,178,FREIGHT/EXPENSE CHARGES,200
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,181,MOBILE COMM SERVICES,1500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,190,TELEPHONE-CENTREX,18700
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,191,TELEPHONE-RELOCATIONS,1000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,197,TELEPHONE-MAINTENANCE,3500
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,245,REIMBURSEMENT TRAVELERS,9000
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,340,MATERIAL AND SUPPLIES,16750
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,345,APPARATUS AND INSTRUMENTS,27680
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,348,BOOKS AND RELATED MTL,1700
Local,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,PROJECT DEVELOPMENT,350,STATIONERY AND OFFICE SUPPL,3500
