year,functional_category,department_number,appropriation_account,fund_type,fund_code,amount
2011,Finance & Administration,05,0005,GRANTS,0075,869257.0
2011,Finance & Administration,05,0005,LOCAL,0100,1923571.0
2011,Finance & Administration,05,0005,LOCAL,0200,107554.0
2011,Finance & Administration,05,0005,LOCAL,0B21,147123.0
2011,Finance & Administration,05,0015,CDBG,0K37,1364.0
2011,Finance & Administration,05,0015,GRANTS,0075,5049.0
2011,Finance & Administration,05,0030,CDBG,0K37,-45959.0
2011,Finance & Administration,05,0030,GRANTS,0075,-73443.0
2011,Finance & Administration,05,0030,LOCAL,0100,-193350.0
2011,Finance & Administration,05,0030,LOCAL,0200,-10201.0
2011,Finance & Administration,05,0030,LOCAL,0B21,-8055.0
2011,Finance & Administration,05,0039,CDBG,0K37,10000.0
2011,Finance & Administration,05,0039,GRANTS,0075,17388.0
2011,Finance & Administration,05,0039,LOCAL,0100,37500.0
2011,Finance & Administration,05,0044,CDBG,0K37,213095.0
2011,Finance & Administration,05,0044,GRANTS,0075,325146.0
2011,Finance & Administration,05,0130,CDBG,0K37,3700.0
2011,Finance & Administration,05,0130,LOCAL,0100,3500.0
2011,Finance & Administration,05,0138,CDBG,0K37,4072.0
2011,Finance & Administration,05,0140,CDBG,0K37,530000.0
2011,Finance & Administration,05,0140,GRANTS,0075,513422.0
2011,Finance & Administration,05,0140,GRANTS,0P51,93000.0
2011,Finance & Administration,05,0140,GRANTS,0S84,666000.0
2011,Finance & Administration,05,0140,LOCAL,0100,4500.0
2011,Finance & Administration,05,0152,CDBG,0K37,5000.0
2011,Finance & Administration,05,0152,LOCAL,0100,2000.0
2011,Finance & Administration,05,0157,CDBG,0K37,17000.0
2011,Finance & Administration,05,0157,LOCAL,0100,19000.0
2011,Finance & Administration,05,0159,CDBG,0K37,8600.0
2011,Finance & Administration,05,0159,GRANTS,0075,5000.0
2011,Finance & Administration,05,0169,CDBG,0K37,5000.0
2011,Finance & Administration,05,0169,GRANTS,0075,8841.0
2011,Finance & Administration,05,0169,LOCAL,0100,1000.0
2011,Finance & Administration,05,0181,LOCAL,0100,4000.0
2011,Finance & Administration,05,0190,LOCAL,0100,26000.0
2011,Finance & Administration,05,0197,LOCAL,0100,8000.0
2011,Finance & Administration,05,0245,CDBG,0K37,3000.0
2011,Finance & Administration,05,0245,LOCAL,0100,500.0
2011,Finance & Administration,05,0270,CDBG,0K37,3000.0
2011,Finance & Administration,05,0270,LOCAL,0100,1000.0
2011,Finance & Administration,05,0312,GRANTS,0075,5000.0
2011,Finance & Administration,05,0340,GRANTS,0075,4340.0
2011,Finance & Administration,05,0348,CDBG,0K37,1630.0
2011,Finance & Administration,05,0348,LOCAL,0100,650.0
2011,Finance & Administration,05,0350,CDBG,0K37,3500.0
2011,Finance & Administration,05,0350,LOCAL,0100,5400.0
2011,Finance & Administration,05,9157,CDBG,0K37,2216870.0
2011,Finance & Administration,05,9438,CDBG,0K37,20000.0
